minutes_watched,clv,region_western_europe,region_anglosphere,region_rest,channel_facebook,channel_friend,channel_google,channel_instagram,channel_linkedin,channel_other,channel_twitter,channel_youtube
3197.0,205.42,0,0,1,0,0,0,0,1,0,0,0
63.0,149.99,0,1,0,0,0,1,0,0,0,0,0
605.0,119.0,0,0,1,1,0,0,0,0,0,0,0
20.0,240.0,0,0,1,0,0,0,0,1,0,0,0
245.0,184.36,1,0,0,0,0,0,0,1,0,0,0
259.0,418.63,0,1,0,0,0,0,0,0,0,0,1
5456.0,245.17,0,1,0,0,0,1,0,0,0,0,0
247.0,177.98,1,0,0,0,0,0,0,0,0,0,1
160.0,283.44,0,1,0,0,0,0,0,0,0,0,1
77.0,295.97,1,0,0,0,0,1,0,0,0,0,0
231.0,202.88,0,1,0,0,0,0,0,0,0,0,1
611.0,149.99,0,1,0,0,0,0,0,1,0,0,0
5915.0,366.45,1,0,0,0,0,1,0,0,0,0,0
816.0,82.58,0,0,1,0,0,0,0,0,0,0,1
1312.0,269.97,0,0,1,0,0,0,0,0,0,0,1
1319.0,193.63,0,1,0,0,0,1,0,0,0,0,0
9158.0,53.94,0,1,0,0,0,1,0,0,0,0,0
2812.0,207.12,1,0,0,0,0,0,0,0,0,0,1
5811.0,180.17,0,0,1,0,0,0,0,0,0,0,1
1574.0,180.17,1,0,0,0,0,0,1,0,0,0,0
8121.0,269.97,0,1,0,0,0,0,0,0,1,0,0
399.0,149.99,0,0,1,0,0,0,0,1,0,0,0
1817.0,269.97,0,1,0,0,0,0,0,0,0,0,1
5574.0,286.17,0,0,1,0,0,0,0,0,0,0,1
266.0,149.99,0,0,1,0,1,0,0,0,0,0,0
4461.0,287.49,0,1,0,0,0,1,0,0,0,0,0
3326.0,102.18,0,0,1,0,0,0,0,1,0,0,0
9410.0,185.98,0,0,1,0,0,0,0,0,0,1,0
1632.0,202.04,0,0,1,0,0,1,0,0,0,0,0
4071.0,149.98,0,1,0,0,1,0,0,0,0,0,0
14036.0,180.52,0,0,1,0,0,0,0,0,0,0,1
6438.0,515.24,0,0,1,0,0,1,0,0,0,0,0
2984.0,363.79,1,0,0,0,0,0,0,0,0,0,1
61.0,149.99,0,1,0,0,0,0,0,1,0,0,0
4499.0,86.24,0,0,1,1,0,0,0,0,0,0,0
315.0,149.98,0,1,0,0,0,0,0,1,0,0,0
2991.0,306.58,0,0,1,0,0,1,0,0,0,0,0
7761.0,176.98,0,0,1,0,0,1,0,0,0,0,0
1293.0,358.18,1,0,0,0,0,1,0,0,0,0,0
3602.0,269.96,0,0,1,0,0,1,0,0,0,0,0
2843.0,286.09,0,1,0,0,1,0,0,0,0,0,0
2646.0,269.97,0,1,0,0,0,0,0,0,0,0,1
1582.0,75.42,0,0,1,0,0,0,0,1,0,0,0
6404.0,528.89,0,0,1,0,0,1,0,0,0,0,0
8413.0,302.11,1,0,0,0,0,0,0,0,0,0,1
3492.0,223.22,1,0,0,0,1,0,0,0,0,0,0
1188.0,147.0,0,0,1,0,0,1,0,0,0,0,0
611.0,353.53,0,1,0,0,0,0,0,0,0,0,1
980.0,359.03,0,1,0,0,0,0,0,1,0,0,0
1171.0,268.99,0,0,1,0,0,0,0,0,0,1,0
3.0,213.61,0,0,1,0,0,0,0,1,0,0,0
1616.0,174.01,0,0,1,0,0,0,0,0,0,0,1
288.0,184.44,0,0,1,0,1,0,0,0,0,0,0
1465.0,270.49,0,1,0,0,0,1,0,0,0,0,0
6331.0,99.0,0,0,1,0,0,0,0,1,0,0,0
313.0,118.47,0,0,1,0,0,1,0,0,0,0,0
804.0,213.97,0,0,1,0,0,0,0,0,0,0,1
1971.0,207.55,0,1,0,0,0,0,0,0,0,0,1
1054.0,172.8,0,0,1,0,1,0,0,0,0,0,0
9138.0,245.98,0,0,1,0,0,0,0,1,0,0,0
2128.0,333.9,0,1,0,0,0,0,0,0,0,0,1
3875.0,331.99,0,1,0,0,0,0,0,0,0,0,1
12436.0,84.96,0,0,1,0,0,0,0,0,0,0,1
3564.0,62.58,0,0,1,0,0,1,0,0,0,0,0
2571.0,36.0,0,1,0,0,0,0,0,0,1,0,0
214.0,119.0,0,1,0,0,0,0,0,0,0,0,1
10616.0,350.09,0,0,1,0,1,0,0,0,0,0,0
11578.0,285.36,0,0,1,0,0,0,0,0,0,0,1
766.0,177.41,0,0,1,0,0,1,0,0,0,0,0
2912.0,269.97,0,1,0,0,0,0,1,0,0,0,0
3229.0,62.58,0,0,1,0,0,1,0,0,0,0,0
59.0,129.6,0,0,1,0,0,0,0,1,0,0,0
1390.0,46.0,0,0,1,0,0,0,0,1,0,0,0
2778.0,227.78,1,0,0,0,0,0,0,1,0,0,0
613.0,184.44,0,1,0,0,0,1,0,0,0,0,0
9005.0,285.36,0,1,0,0,0,1,0,0,0,0,0
4315.0,149.99,0,0,1,0,0,0,0,0,0,0,1
262.0,174.0,0,0,1,0,0,0,0,1,0,0,0
4308.0,184.45,0,0,1,0,0,0,0,0,0,0,1
2327.0,330.6,0,0,1,0,0,0,0,0,0,0,1
1602.0,184.43,0,0,1,0,1,0,0,0,0,0,0
671.0,269.76,0,1,0,0,0,0,1,0,0,0,0
2408.0,82.04,0,0,1,1,0,0,0,0,0,0,0
6937.0,174.0,0,0,1,0,1,0,0,0,0,0,0
94.0,149.99,0,0,1,0,0,1,0,0,0,0,0
5554.0,484.69,1,0,0,0,0,0,0,0,0,0,1
228.0,64.8,0,1,0,0,1,0,0,0,0,0,0
7270.0,302.48,0,1,0,0,0,0,0,0,0,0,1
126.0,91.5,0,0,1,0,0,0,0,0,0,0,1
6012.0,207.06,0,0,1,0,1,0,0,0,0,0,0
6197.0,169.04,1,0,0,0,0,1,0,0,0,0,0
4139.0,331.99,0,0,1,0,0,0,0,0,0,0,1
828.0,233.63,1,0,0,0,0,1,0,0,0,0,0
2076.0,36.0,0,0,1,0,0,0,0,0,0,0,1
2967.0,62.58,0,0,1,0,0,0,0,0,0,0,1
115.0,150.64,0,1,0,0,0,1,0,0,0,0,0
2719.0,187.57,0,0,1,0,0,0,0,0,0,0,1
1166.0,62.58,0,0,1,0,0,1,0,0,0,0,0
2432.0,149.99,0,0,1,0,0,1,0,0,0,0,0
6261.0,245.98,0,0,1,0,0,1,0,0,0,0,0
22927.0,245.98,0,1,0,0,0,0,0,0,0,0,1
5912.0,279.59,0,0,1,0,0,1,0,0,0,0,0
5935.0,245.98,0,0,1,0,0,0,0,0,0,0,1
25.0,149.68,0,1,0,0,0,1,0,0,0,0,0
15163.0,149.99,0,0,1,0,0,1,0,0,0,0,0
4199.0,149.99,0,0,1,0,0,0,0,0,0,0,1
2334.0,248.43,0,1,0,1,0,0,0,0,0,0,0
19502.0,171.58,0,0,1,0,0,1,0,0,0,0,0
4087.0,184.44,0,1,0,0,0,1,0,0,0,0,0
302.0,150.0,0,0,1,0,0,0,0,0,0,0,1
6853.0,149.99,0,0,1,0,0,0,0,0,0,0,1
3194.0,62.58,0,0,1,0,1,0,0,0,0,0,0
43.0,63.63,0,0,1,0,0,0,0,0,0,0,1
2311.0,147.0,0,0,1,0,0,1,0,0,0,0,0
2387.0,207.57,1,0,0,0,0,0,1,0,0,0,0
2964.0,313.2,0,0,1,0,1,0,0,0,0,0,0
2931.0,184.44,0,0,1,0,0,1,0,0,0,0,0
1707.0,149.99,0,1,0,0,1,0,0,0,0,0,0
13349.0,64.8,0,0,1,0,0,0,0,0,0,0,1
2389.0,331.99,0,0,1,1,0,0,0,0,0,0,0
1242.0,331.99,0,1,0,0,0,0,0,0,0,0,1
997.0,149.72,0,1,0,0,0,0,0,0,0,0,1
2058.0,230.97,1,0,0,0,0,1,0,0,0,0,0
171.0,149.99,0,1,0,0,0,1,0,0,0,0,0
927.0,212.91,1,0,0,0,0,1,0,0,0,0,0
229.0,184.44,0,1,0,0,0,0,0,0,0,0,1
2575.0,149.99,0,0,1,0,0,0,0,0,0,0,1
13035.0,365.71,1,0,0,0,0,0,0,1,0,0,0
1162.0,119.0,0,1,0,0,0,0,0,0,0,0,1
33.0,149.99,0,1,0,0,0,1,0,0,0,0,0
401.0,323.82,1,0,0,0,0,0,0,0,0,0,1
8273.0,207.37,1,0,0,0,0,0,0,0,0,0,1
3021.0,172.15,0,0,1,0,1,0,0,0,0,0,0
291.0,325.04,0,0,1,0,0,1,0,0,0,0,0
3500.0,62.58,0,0,1,1,0,0,0,0,0,0,0
7692.0,271.71,0,1,0,0,0,0,0,0,0,0,1
7638.0,184.64,0,0,1,0,0,0,0,0,0,0,1
14810.0,285.36,0,0,1,0,0,1,0,0,0,0,0
1187.0,360.88,1,0,0,0,1,0,0,0,0,0,0
5849.0,342.2,0,0,1,0,0,0,0,0,0,0,1
3632.0,270.69,0,1,0,0,0,0,1,0,0,0,0
357.0,149.99,0,0,1,0,0,1,0,0,0,0,0
5605.0,304.63,1,0,0,0,0,0,0,0,0,0,1
9074.0,119.0,0,1,0,1,0,0,0,0,0,0,0
3997.0,343.82,1,0,0,0,0,0,0,0,0,0,1
1443.0,313.77,0,0,1,0,1,0,0,0,0,0,0
1409.0,19.0,0,0,1,0,0,0,0,0,1,0,0
48.0,119.0,0,0,1,0,0,0,0,1,0,0,0
1268.0,313.26,0,0,1,0,0,1,0,0,0,0,0
46.0,63.63,0,0,1,0,0,0,0,1,0,0,0
8231.0,174.14,0,1,0,0,0,1,0,0,0,0,0
20799.0,174.0,0,1,0,0,0,1,0,0,0,0,0
957.0,269.98,0,1,0,0,1,0,0,0,0,0,0
348.0,174.0,0,1,0,0,0,0,0,0,0,0,1
2522.0,313.42,0,1,0,0,0,0,0,0,0,0,1
14187.0,267.48,0,1,0,0,0,0,0,0,0,0,1
3750.0,331.79,0,1,0,0,0,0,0,0,0,0,1
1407.0,146.93,0,1,0,0,0,1,0,0,0,0,0
1915.0,62.58,0,0,1,0,0,1,0,0,0,0,0
72.0,259.02,0,0,1,0,1,0,0,0,0,0,0
1354.0,119.0,0,0,1,0,0,0,0,0,1,0,0
263.0,182.51,1,0,0,0,0,0,1,0,0,0,0
585.0,149.99,0,0,1,0,0,0,0,0,0,0,1
1569.0,302.48,0,1,0,0,0,0,0,0,0,0,1
2031.0,174.0,0,1,0,0,0,1,0,0,0,0,0
3468.0,443.98,0,1,0,0,0,0,0,0,0,0,1
247.0,119.0,0,1,0,0,0,0,0,0,0,0,1
1231.0,184.44,0,1,0,0,0,0,0,0,0,0,1
54.0,49.5,0,1,0,0,0,1,0,0,0,0,0
289.0,121.0,0,0,1,0,0,1,0,0,0,0,0
444.0,77.3,0,0,1,0,0,0,0,1,0,0,0
423.0,36.0,0,1,0,0,0,0,0,0,1,0,0
629.0,150.24,0,0,1,0,0,0,0,0,0,0,1
507.0,62.58,0,0,1,0,0,1,0,0,0,0,0
2483.0,184.44,0,0,1,0,0,0,0,0,0,0,1
8867.0,245.98,0,0,1,0,0,1,0,0,0,0,0
2623.0,149.99,0,0,1,0,0,0,0,0,0,0,1
909.0,149.99,0,0,1,0,0,0,0,0,0,0,1
21279.0,269.98,0,0,1,0,1,0,0,0,0,0,0
356.0,149.99,0,0,1,0,0,0,1,0,0,0,0
8022.0,48.6,0,1,0,0,0,0,0,0,0,0,1
1502.0,269.98,0,0,1,1,0,0,0,0,0,0,0
94.0,149.99,0,0,1,0,0,0,0,0,0,0,1
9723.0,157.2,0,0,1,0,0,0,1,0,0,0,0
20292.0,245.98,0,0,1,0,0,0,0,0,1,0,0
3704.0,61.2,0,0,1,0,0,1,0,0,0,0,0
9930.0,62.58,0,0,1,0,0,0,0,1,0,0,0
1869.0,149.99,0,0,1,0,0,0,1,0,0,0,0
2283.0,246.42,0,1,0,0,0,0,0,0,0,0,1
780.0,149.99,0,0,1,1,0,0,0,0,0,0,0
34.0,358.0,1,0,0,1,0,0,0,0,0,0,0
771.0,162.37,0,0,1,1,0,0,0,0,0,0,0
12035.0,217.44,0,0,1,0,0,1,0,0,0,0,0
364.0,62.58,0,0,1,0,0,0,0,1,0,0,0
163.0,270.04,0,0,1,0,0,0,0,1,0,0,0
3001.0,24.71,0,0,1,0,0,1,0,0,0,0,0
19622.0,245.98,0,0,1,0,0,0,0,0,0,0,1
4384.0,245.98,0,0,1,0,0,1,0,0,0,0,0
1224.0,269.98,0,0,1,0,0,0,0,0,0,0,1
538.0,149.99,0,0,1,0,0,0,1,0,0,0,0
1116.0,149.99,0,0,1,0,0,1,0,0,0,0,0
1518.0,150.44,0,1,0,0,0,1,0,0,0,0,0
0.0,300.06,0,1,0,0,0,0,0,1,0,0,0
189.0,150.19,0,0,1,0,0,0,0,0,0,0,1
2781.0,184.44,0,1,0,0,0,0,0,0,0,0,1
484.0,9.5,0,0,1,0,0,1,0,0,0,0,0
1416.0,19.0,0,0,1,0,0,0,0,0,0,0,1
831.0,149.99,0,0,1,1,0,0,0,0,0,0,0
1852.0,62.58,0,0,1,0,0,0,0,0,0,0,1
176.0,36.0,0,0,1,0,0,0,0,0,0,0,1
488.0,121.0,0,1,0,0,0,1,0,0,0,0,0
616.0,348.13,0,1,0,0,0,0,0,0,0,0,1
694.0,184.44,0,0,1,1,0,0,0,0,0,0,0
